filename,timestamp,time_taken,status,prompt_file,survey_type,isLocal,LIMIT,error
airidas-kano-7500_llama3-8b_V7_0,2024-05-06_123116,117.569,OK,batch/prompts/airidas-kano-7500_llama3-8b_V7_prompts.json,KanoSurvey,True,,
eli-pers-7500_llama3-70b_V7_0,2024-05-06_123313,1344.496,OK,batch/prompts/eli-pers-7500_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
airidas-kano-7500_llama3-70b_V7_2,2024-05-06_125538,1038.137,OK,batch/prompts/airidas-kano-7500_llama3-70b_V7_prompts.json,KanoSurvey,True,,
eli-kano-7500_llama3-70b_V7_2,2024-05-06_131256,1098.807,OK,batch/prompts/eli-kano-7500_llama3-70b_V7_prompts.json,KanoSurvey,True,,
base-kano-29_llama3-70b_V7_1,2024-05-06_133115,59.55,OK,batch/prompts/base-kano-29_llama3-70b_V7_prompts.json,KanoSurvey,True,,
airidas-pers-7500_llama3-70b_V7_0,2024-05-06_133214,1299.954,OK,batch/prompts/airidas-pers-7500_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
airidas-pers-0_llama3-70b_V7_2,2024-05-06_135354,1114.481,OK,batch/prompts/airidas-pers-0_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
base-pers-29_llama3-70b_V7_1,2024-05-06_141229,78.977,OK,batch/prompts/base-pers-29_llama3-70b_V7_prompts.json,PersonalitySurvey,True,,
airidas-pers-4000_llama3-8b_V7_2,2024-05-06_141348,139.831,OK,batch/prompts/airidas-pers-4000_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
airidas-pers-7500_llama3-8b_V7_1,2024-05-06_141607,144.543,OK,batch/prompts/airidas-pers-7500_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
airidas-pers-0_llama3-8b_V7_1,2024-05-06_141832,128.216,OK,batch/prompts/airidas-pers-0_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
eli-pers-0_llama3-8b_V7_1,2024-05-06_142040,98.634,OK,batch/prompts/eli-pers-0_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
eli-pers-4000_llama3-8b_V7_2,2024-05-06_142219,145.614,OK,batch/prompts/eli-pers-4000_llama3-8b_V7_prompts.json,PersonalitySurvey,True,,
